grid_id,location,tz,wkt
3A3IE,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.8889090614936 34.13085940091023, -117.8889090614936 34.16803061743935, -117.9338248256995 34.16803061743935, -117.9338248256995 34.13085940091023, -117.8889090614936 34.13085940091023))"
3S31A,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.9338248256995 33.79558357488509, -117.9338248256995 33.83290166381627, -117.9787405899055 33.83290166381627, -117.9787405899055 33.79558357488509, -117.9338248256995 33.79558357488509))"
7II4T,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.0236563541115 33.98201108613195, -118.0236563541115 34.01924766510738, -118.0685721183175 34.01924766510738, -118.0685721183175 33.98201108613195, -118.0236563541115 33.98201108613195))"
8BOQH,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.4278982319653 34.01924766510738, -118.4278982319653 34.05646791625069, -118.4728139961712 34.05646791625069, -118.4728139961712 34.01924766510738, -118.4278982319653 34.01924766510738))"
A2FBI,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.3948356552278 33.98201108613195, -117.3948356552278 34.01924766510738, -117.4397514194338 34.01924766510738, -117.4397514194338 33.98201108613195, -117.3948356552278 33.98201108613195))"
A5WJI,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.9338248256995 33.9074889790035, -117.9338248256995 33.94475818789627, -117.9787405899055 33.94475818789627, -117.9787405899055 33.9074889790035, -117.9338248256995 33.9074889790035))"
B5FKJ,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.4846671836398 34.09367183102137, -117.4846671836398 34.13085940091023, -117.5295829478457 34.13085940091023, -117.5295829478457 34.09367183102137, -117.4846671836398 34.09367183102137))"
C8HH7,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-116.4965203711083 33.83290166381627, -116.4965203711083 33.87020346808818, -116.5414361353143 33.87020346808818, -116.5414361353143 33.83290166381627, -116.4965203711083 33.83290166381627))"
DHO4M,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.3380667035533 34.16803061743935, -118.3380667035533 34.20518547216206, -118.3829824677593 34.20518547216206, -118.3829824677593 34.16803061743935, -118.3380667035533 34.16803061743935))"
DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))"
E5P9N,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.4846671836398 33.98201108613195, -117.4846671836398 34.01924766510738, -117.5295829478457 34.01924766510738, -117.5295829478457 33.98201108613195, -117.4846671836398 33.98201108613195))"
FRITQ,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.1584036467294 33.83290166381627, -118.1584036467294 33.87020346808818, -118.2033194109354 33.87020346808818, -118.2033194109354 33.83290166381627, -118.1584036467294 33.83290166381627))"
H96P6,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.5177297603772 34.16803061743935, -118.5177297603772 34.20518547216206, -118.5626455245832 34.20518547216206, -118.5626455245832 34.16803061743935, -118.5177297603772 34.16803061743935))"
HUZ29,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.2600883626099 34.09367183102137, -117.2600883626099 34.13085940091023, -117.3050041268159 34.13085940091023, -117.3050041268159 34.09367183102137, -117.2600883626099 34.09367183102137))"
I677K,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.4846671836398 34.05646791625069, -117.4846671836398 34.09367183102137, -117.5295829478457 34.09367183102137, -117.5295829478457 34.05646791625069, -117.4846671836398 34.05646791625069))"
IUON3,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.7092460046696 34.05646791625069, -117.7092460046696 34.09367183102137, -117.7541617688756 34.09367183102137, -117.7541617688756 34.05646791625069, -117.7092460046696 34.05646791625069))"
JNUQF,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.2033194109354 33.79558357488509, -118.2033194109354 33.83290166381627, -118.2482351751414 33.83290166381627, -118.2482351751414 33.79558357488509, -118.2033194109354 33.79558357488509))"
PG3MI,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.2033194109354 34.05646791625069, -118.2033194109354 34.09367183102137, -118.2482351751414 34.09367183102137, -118.2482351751414 34.05646791625069, -118.2033194109354 34.05646791625069))"
QH45V,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.4278982319653 33.94475818789627, -118.4278982319653 33.98201108613195, -118.4728139961712 33.98201108613195, -118.4728139961712 33.94475818789627, -118.4278982319653 33.94475818789627))"
QJHW4,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.5177297603772 34.35364110514904, -118.5177297603772 34.39071402523285, -118.5626455245832 34.39071402523285, -118.5626455245832 34.35364110514904, -118.5177297603772 34.35364110514904))"
