granule_id,us_url,time_start,time_end,product,location,split,granuleSize
S5P_RPRO_L2__NO2____20210901T210029_20210901T224158_20139_03_020400_20221105T094729.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/244/S5P_RPRO_L2__NO2____20210901T210029_20210901T224158_20139_03_020400_20221105T094729.nc,2021-09-01T21:22:03Z,2021-09-01T22:20:27Z,tropomi,la,train,598733038
S5P_RPRO_L2__NO2____20210901T191859_20210901T210029_20138_03_020400_20221105T094648.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/244/S5P_RPRO_L2__NO2____20210901T191859_20210901T210029_20138_03_020400_20221105T094648.nc,2021-09-01T19:40:33Z,2021-09-01T20:38:58Z,tropomi,la,train,605102679
S5P_RPRO_L2__NO2____20210831T193807_20210831T211937_20124_03_020400_20221105T094040.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/243/S5P_RPRO_L2__NO2____20210831T193807_20210831T211937_20124_03_020400_20221105T094040.nc,2021-08-31T19:59:42Z,2021-08-31T20:58:05Z,tropomi,la,train,603254819
S5P_RPRO_L2__NO2____20210830T195715_20210830T213844_20110_03_020400_20221105T093243.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/242/S5P_RPRO_L2__NO2____20210830T195715_20210830T213844_20110_03_020400_20221105T093243.nc,2021-08-30T20:18:50Z,2021-08-30T21:17:13Z,tropomi,la,train,606236339
S5P_RPRO_L2__NO2____20210829T201622_20210829T215752_20096_03_020400_20221105T092943.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/241/S5P_RPRO_L2__NO2____20210829T201622_20210829T215752_20096_03_020400_20221105T092943.nc,2021-08-29T20:37:57Z,2021-08-29T21:36:20Z,tropomi,la,train,604001058
S5P_RPRO_L2__NO2____20210828T203530_20210828T221659_20082_03_020400_20221105T092547.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/240/S5P_RPRO_L2__NO2____20210828T203530_20210828T221659_20082_03_020400_20221105T092547.nc,2021-08-28T20:57:05Z,2021-08-28T21:55:28Z,tropomi,la,train,600819546
S5P_RPRO_L2__NO2____20210828T185400_20210828T203530_20081_03_020400_20221105T092546.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/240/S5P_RPRO_L2__NO2____20210828T185400_20210828T203530_20081_03_020400_20221105T092546.nc,2021-08-28T19:15:35Z,2021-08-28T20:13:58Z,tropomi,la,train,609845285
S5P_RPRO_L2__NO2____20210827T205437_20210827T223607_20068_03_020400_20221105T092230.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/239/S5P_RPRO_L2__NO2____20210827T205437_20210827T223607_20068_03_020400_20221105T092230.nc,2021-08-27T21:16:12Z,2021-08-27T22:08:28Z,tropomi,la,train,576014882
S5P_RPRO_L2__NO2____20210827T191308_20210827T205437_20067_03_020400_20221105T092125.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/239/S5P_RPRO_L2__NO2____20210827T191308_20210827T205437_20067_03_020400_20221105T092125.nc,2021-08-27T19:34:42Z,2021-08-27T20:33:06Z,tropomi,la,train,609674439
S5P_RPRO_L2__NO2____20210826T193215_20210826T211345_20053_03_020400_20221105T085154.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/238/S5P_RPRO_L2__NO2____20210826T193215_20210826T211345_20053_03_020400_20221105T085154.nc,2021-08-26T19:53:50Z,2021-08-26T20:46:06Z,tropomi,la,train,588722685
S5P_RPRO_L2__NO2____20210825T195123_20210825T213252_20039_03_020400_20221105T084927.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/237/S5P_RPRO_L2__NO2____20210825T195123_20210825T213252_20039_03_020400_20221105T084927.nc,2021-08-25T20:12:57Z,2021-08-25T21:11:21Z,tropomi,la,train,600893850
S5P_RPRO_L2__NO2____20210824T201030_20210824T215200_20025_03_020400_20221105T084811.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/236/S5P_RPRO_L2__NO2____20210824T201030_20210824T215200_20025_03_020400_20221105T084811.nc,2021-08-24T20:32:05Z,2021-08-24T21:30:28Z,tropomi,la,train,606451270
S5P_RPRO_L2__NO2____20210823T202937_20210823T221107_20011_03_020400_20221107T130924.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/235/S5P_RPRO_L2__NO2____20210823T202937_20210823T221107_20011_03_020400_20221107T130924.nc,2021-08-23T20:51:12Z,2021-08-23T21:49:35Z,tropomi,la,train,603238464
S5P_RPRO_L2__NO2____20210822T204845_20210822T223014_19997_03_020400_20221104T181155.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/234/S5P_RPRO_L2__NO2____20210822T204845_20210822T223014_19997_03_020400_20221104T181155.nc,2021-08-22T21:10:19Z,2021-08-22T22:08:43Z,tropomi,la,train,598694845
S5P_RPRO_L2__NO2____20210822T190715_20210822T204845_19996_03_020400_20221104T181154.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/234/S5P_RPRO_L2__NO2____20210822T190715_20210822T204845_19996_03_020400_20221104T181154.nc,2021-08-22T19:28:49Z,2021-08-22T20:27:13Z,tropomi,la,train,606175617
S5P_RPRO_L2__NO2____20210821T192622_20210821T210752_19982_03_020400_20221104T211247.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/233/S5P_RPRO_L2__NO2____20210821T192622_20210821T210752_19982_03_020400_20221104T211247.nc,2021-08-21T19:47:57Z,2021-08-21T20:46:20Z,tropomi,la,train,609444998
S5P_RPRO_L2__NO2____20210820T194529_20210820T212659_19968_03_020400_20221104T174137.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/232/S5P_RPRO_L2__NO2____20210820T194529_20210820T212659_19968_03_020400_20221104T174137.nc,2021-08-20T20:07:04Z,2021-08-20T21:05:27Z,tropomi,la,train,606669786
S5P_RPRO_L2__NO2____20210819T200436_20210819T214606_19954_03_020400_20221104T173345.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/231/S5P_RPRO_L2__NO2____20210819T200436_20210819T214606_19954_03_020400_20221104T173345.nc,2021-08-19T20:26:10Z,2021-08-19T21:24:35Z,tropomi,la,train,601723453
S5P_RPRO_L2__NO2____20210818T202343_20210818T220513_19940_03_020400_20221104T172556.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/230/S5P_RPRO_L2__NO2____20210818T202343_20210818T220513_19940_03_020400_20221104T172556.nc,2021-08-18T20:45:17Z,2021-08-18T21:43:41Z,tropomi,la,train,604974745
S5P_RPRO_L2__NO2____20210817T204250_20210817T222420_19926_03_020400_20221104T172533.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/229/S5P_RPRO_L2__NO2____20210817T204250_20210817T222420_19926_03_020400_20221104T172533.nc,2021-08-17T21:04:24Z,2021-08-17T22:02:48Z,tropomi,la,train,601222923
S5P_RPRO_L2__NO2____20210816T210157_20210816T224327_19912_03_020400_20221104T200154.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/229/S5P_RPRO_L2__NO2____20210817T190121_20210817T204250_19925_03_020400_20221104T172531.nc,2021-08-16T21:23:32Z,2021-08-16T22:21:55Z,tropomi,la,train,601389631
S5P_RPRO_L2__NO2____20210815T193934_20210815T212104_19897_03_020400_20221104T171013.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/228/S5P_RPRO_L2__NO2____20210816T210157_20210816T224327_19912_03_020400_20221104T200154.nc,2021-08-15T20:01:09Z,2021-08-15T20:59:32Z,tropomi,la,train,603406041
S5P_OFFL_L2__NO2____20210814T195841_20210814T214011_19883_02_020200_20210816T124943.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/228/S5P_RPRO_L2__NO2____20210816T192028_20210816T210157_19911_03_020400_20221104T200152.nc,2021-08-14T20:20:15Z,2021-08-14T21:18:40Z,tropomi,la,train,581125546
S5P_RPRO_L2__NO2____20210814T195841_20210814T214011_19883_03_020400_20221104T170221.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/227/S5P_RPRO_L2__NO2____20210815T193934_20210815T212104_19897_03_020400_20221104T171013.nc,2021-08-14T20:20:15Z,2021-08-14T21:18:40Z,tropomi,la,train,602126040
S5P_RPRO_L2__NO2____20210813T201748_20210813T215917_19869_03_020400_20221104T165432.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/226/S5P_OFFL_L2__NO2____20210814T195841_20210814T214011_19883_02_020200_20210816T124943.nc,2021-08-13T20:39:22Z,2021-08-13T21:37:46Z,tropomi,la,train,601166247
S5P_RPRO_L2__NO2____20210812T203654_20210812T221824_19855_03_020400_20221104T164639.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/226/S5P_RPRO_L2__NO2____20210814T195841_20210814T214011_19883_03_020400_20221104T170221.nc,2021-08-12T20:58:28Z,2021-08-12T21:56:52Z,tropomi,la,train,599235097
S5P_RPRO_L2__NO2____20210812T185525_20210812T203654_19854_03_020400_20221104T164638.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/225/S5P_RPRO_L2__NO2____20210813T201748_20210813T215917_19869_03_020400_20221104T165432.nc,2021-08-12T19:16:59Z,2021-08-12T20:15:23Z,tropomi,la,train,607658818
S5P_RPRO_L2__NO2____20210811T205601_20210811T223731_19841_03_020400_20221104T194617.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/224/S5P_RPRO_L2__NO2____20210812T203654_20210812T221824_19855_03_020400_20221104T164639.nc,2021-08-11T21:17:35Z,2021-08-11T22:15:59Z,tropomi,la,train,602062070
S5P_RPRO_L2__NO2____20210811T191431_20210811T205601_19840_03_020400_20221104T194615.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/224/S5P_RPRO_L2__NO2____20210812T185525_20210812T203654_19854_03_020400_20221104T164638.nc,2021-08-11T19:36:06Z,2021-08-11T20:34:29Z,tropomi,la,train,610208280
S5P_RPRO_L2__NO2____20210810T193338_20210810T211507_19826_03_020400_20221104T163826.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/223/S5P_RPRO_L2__NO2____20210811T205601_20210811T223731_19841_03_020400_20221104T194617.nc,2021-08-10T19:55:12Z,2021-08-10T20:53:36Z,tropomi,la,train,604871377
S5P_RPRO_L2__NO2____20210809T195244_20210809T213414_19812_03_020400_20221104T193837.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/223/S5P_RPRO_L2__NO2____20210811T191431_20210811T205601_19840_03_020400_20221104T194615.nc,2021-08-09T20:14:18Z,2021-08-09T21:12:42Z,tropomi,la,train,602490654
S5P_RPRO_L2__NO2____20210808T201151_20210808T215320_19798_03_020400_20221104T163032.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/222/S5P_RPRO_L2__NO2____20210810T193338_20210810T211507_19826_03_020400_20221104T163826.nc,2021-08-08T20:33:25Z,2021-08-08T21:25:42Z,tropomi,la,train,580067246
S5P_RPRO_L2__NO2____20210807T203057_20210807T221226_19784_03_020400_20221104T161509.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/221/S5P_RPRO_L2__NO2____20210809T195244_20210809T213414_19812_03_020400_20221104T193837.nc,2021-08-07T20:52:32Z,2021-08-07T21:50:55Z,tropomi,la,train,602245878
S5P_RPRO_L2__NO2____20210806T205003_20210806T223133_19770_03_020400_20221104T160725.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/220/S5P_RPRO_L2__NO2____20210808T201151_20210808T215320_19798_03_020400_20221104T163032.nc,2021-08-06T21:11:38Z,2021-08-06T22:10:01Z,tropomi,la,train,601606898
S5P_RPRO_L2__NO2____20210806T190833_20210806T205003_19769_03_020400_20221104T155953.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/219/S5P_RPRO_L2__NO2____20210807T203057_20210807T221226_19784_03_020400_20221104T161509.nc,2021-08-06T19:30:08Z,2021-08-06T20:28:32Z,tropomi,la,train,608807712
S5P_RPRO_L2__NO2____20210805T192740_20210805T210909_19755_03_020400_20221104T155927.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/218/S5P_RPRO_L2__NO2____20210806T205003_20210806T223133_19770_03_020400_20221104T160725.nc,2021-08-05T19:49:14Z,2021-08-05T20:47:38Z,tropomi,la,train,606153854
S5P_RPRO_L2__NO2____20210804T194646_20210804T212815_19741_03_020400_20221104T155148.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/218/S5P_RPRO_L2__NO2____20210806T190833_20210806T205003_19769_03_020400_20221104T155953.nc,2021-08-04T20:08:19Z,2021-08-04T21:06:44Z,tropomi,la,train,604159749
S5P_RPRO_L2__NO2____20210803T200552_20210803T214721_19727_03_020400_20221104T154357.nc,https://data.gesdisc.earthdata.nasa.gov/data/S5P_TROPOMI_Level2/S5P_L2__NO2____HiR.2/2021/217/S5P_RPRO_L2__NO2____20210805T192740_20210805T210909_19755_03_020400_20221104T155927.nc,2021-08-03T20:27:26Z,2021-08-03T21:25:50Z,tropomi,la,train,602261765
